unix_time,vhcl_id,stdr_ymd,stdr_hm,stdr_ss,lon,lat,alt,spd,allowed_spd,agl,slp,vhcl_typ,from_inter_id,to_inter_id,dist2to_inter,turn_typ2to_inter,edge_grp_id,edge_id,lane_id,seg_id,nxt_inter_id,dist2nxt_inter,turn_typ2nxt_inter,nxt_inter_sig_st,nxt_inter_phs_no,que_all,que_200,que_200_500,que_500,tl
1660075998,passenger_1660075260_1660075980_20,20220810,513,18,126.75783894784128,37.49772760710167,0.0,0.0,13.948338,190.6605535604766,0.0,1,,,,,,,477654134_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_20,20220810,514,59,126.75666885222164,37.49912967040867,0.0,0.0,13.948338,13.307693125323484,0.0,1,,,,,,,477643149_0101_02_3,,,,,,,1,2,2,2,1.0
1660076001,passenger_1660075260_1660075980_21,20220810,513,21,126.75698256229404,37.50535565273502,0.0,0.0,16.509968,100.65543236319532,0.0,1,,,,,,,477754785_0202_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_21,20220810,514,59,126.75756504035922,37.50307629901113,0.0,0.0,13.756656,193.0645141703763,0.0,1,cluster_204796_205202,204920,80.0,,cluster_204796_205202_204920,477744474_02,477744474_02_3,477744474_02_3_005,,,,,,1,1,2,2,1.0
1660076000,passenger_1660075260_1660075980_22,20220810,513,20,126.76758196790644,37.504925893036,0.0,0.0,18.191971,191.14378941997984,0.0,1,,,,,,,477703841_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_22,20220810,514,59,126.76474039821564,37.50454079477175,0.0,0.0,18.191971,280.7816085200856,0.0,1,,,,,,,477706260_01_01_5,,,,,,,1,2,2,2,1.0
1660076000,passenger_1660075260_1660075980_23,20220810,513,20,126.7604456003846,37.49988711624118,0.0,0.0,11.005047,190.7815380438828,0.0,1,,,,,,,477649555_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_23,20220810,514,59,126.76172218060708,37.4993190535774,0.0,0.0,11.005047,100.76549688443188,0.0,1,201305,201301,80.0,,201305_201301,477649559_02,477649559_02_0,477649559_02_0_004,,,,,,1,1,2,2,1.0
1660076001,passenger_1660075260_1660075980_24,20220810,513,21,126.75657460306056,37.499908523907024,0.0,0.0,14.545608,168.76651896852889,0.0,1,,,,,,,477605619_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_24,20220810,514,59,126.7563242557829,37.498316353615664,0.0,0.0,14.545608,193.2674517749844,0.0,1,201305,201330,155.38,,201305_201330,477643149_010202_01,477643149_010202_01_4,477643149_010202_01_4_001,,,,,,1,1,2,2,1.0
1660076002,passenger_1660075260_1660075980_25,20220810,513,22,126.7616578321009,37.50214027043461,0.0,0.0,15.795708,100.29843969482567,0.0,1,203823,201292,75.23,,203823_201292,477649508_0201_02,477649508_0201_02_0,477649508_0201_02_0_001,,,,,,1,1,2,2,1.0
1660076099,passenger_1660075260_1660075980_25,20220810,514,59,126.75881978448837,37.49978160795466,0.0,15.698423127030388,15.795708,280.6396503126943,0.0,1,,,,,,,:634204_3_0,,,,,,,0,2,2,2,0.0061589434908275
1660076003,passenger_1660075260_1660075980_26,20220810,513,23,126.7637312450608,37.4991491370443,0.0,0.0,13.978896,280.26205117271815,0.0,1,,,,,,,477649575_01_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075980_26,20220810,514,59,126.76272969223874,37.499260801405256,0.0,0.0,13.978896,280.33393800194483,0.0,1,,,,,,,:203038_0_1,,,,,,,1,2,2,2,1.0
1660076004,passenger_1660075260_1660075980_27,20220810,513,24,126.7613044331548,37.495396655680935,0.0,0.0,15.022035,10.872801402928092,0.0,1,,,,,,,477610053_02020202_01_0,,,,,,,1,2,2,2,1.0
